num_moves,num_clicks,num_scrolls,click_x_mean,click_y_mean,movement_distance,velocity_mean,velocity_max,velocity_min,velocity_sd,velocity_x_mean,velocity_y_mean,acceleration_mean,acceleration_max,acceleration_min,acceleration_sd,jerk_mean,jerk_sd,angular_velocity_mean,angular_velocity_sd,movement_duration,total_time,pause_time,flips_x,flips_y,pause_count,hold_time_mean,hold_time_sd
13.0,0.0,0.0,0.0,0.0,0.2442685391818872,2.630892278191048,5.043368692475249,0.24568237358252676,1.7705512719226335,1.387881720441521,2.2259519109554256,58.933209455917066,562.4453299189116,-309.9634587304919,236.09545009534855,3697.3485939736734,55719.91028346272,7.769829320761758,18.220641846779944,0.09426999092102051,0.09426999092102051,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.07035177278532229,1.7309232024967076,2.5913789491716503,0.7047578771746478,0.6853217412246371,0.992325345307633,1.4178409590593073,-18.394163197018194,165.9297525245729,-149.69156765450518,114.77343318250715,-13071.168991932966,9565.081330011826,2.260629731451925,1.5624779718002078,0.04027509689331055,0.04027509689331055,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.11120425358589933,1.2891315548032176,2.1961148004193003,0.32211472942861163,0.6351434045833322,0.3033191818400688,1.251698581452164,20.78224721774928,149.94733223133312,-135.40207810747415,73.18054520487696,1857.1309379594832,16369.423792290501,-1.9908288883562222,12.079374926931663,0.08746719360351562,0.08746719360351562,0.0,1.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.03446498400369018,0.4103634009461859,1.1119434436977442,0.03300855486533208,0.3856494147942845,0.12479425225043216,0.38970884197812955,-3.6724767420224524,87.71381667050271,-80.61336632845058,42.77850017065306,1615.6444482749878,8703.84441279999,-8.282884244361101,26.758819241893427,0.08919501304626465,0.08919501304626465,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.001985089381024128,0.0262084644424658,0.03841135464869643,0.0077471914127931665,0.010468106734360747,0.013322813024594418,0.020773737279955143,0.1942200931747624,2.2226983969859293,-1.2851715820533707,1.1617963124905475,30.080456699233707,183.2334768169179,1.105692458508627,74.66984931086746,0.0966179370880127,0.0966179370880127,0.0,2.0,2.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0023988893061710212,0.03700870134804198,0.06028239710807759,0.007779193343175637,0.01627078573429874,0.017789710987708617,0.03207814715930822,0.5906273419851286,5.485386816471591,-3.3056032248563554,3.2474294924031697,164.58572865397187,938.6452005776365,3.1025899949139664,17.102360934077463,0.0830693244934082,0.0830693244934082,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
