num_moves,num_clicks,num_scrolls,click_x_mean,click_y_mean,movement_distance,velocity_mean,velocity_max,velocity_min,velocity_sd,velocity_x_mean,velocity_y_mean,acceleration_mean,acceleration_max,acceleration_min,acceleration_sd,jerk_mean,jerk_sd,angular_velocity_mean,angular_velocity_sd,movement_duration,total_time,pause_time,flips_x,flips_y,pause_count,hold_time_mean,hold_time_sd
25.0,0.0,0.0,0.0,0.0,0.04542141706921873,0.47358961756176576,0.8684290730802328,0.2564006259780899,0.2042586557018377,0.3582606275353975,0.2223848807538955,-1.1528683751801325,151.76735486871158,-152.0404814821526,86.2507546908859,324.7800036917546,39878.96160686621,11.715037872238202,210.01533569020026,0.09600019454956055,0.09600019454956055,0.0,0.0,17.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.08099775944195346,0.8441162244723519,1.311636411996338,0.5347561582029136,0.1975491295182899,0.6080623978415313,0.5691833965027985,7.651666182025452,157.17787389354265,-128.33284492904306,64.22228720663291,1064.5811358159697,25659.397642396765,-0.9572772350746136,63.11075023323437,0.09595561027526855,0.09595561027526855,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.08865088933957227,0.9911915193120259,2.780977348964782,0.6468019267793291,0.435205176826013,0.6614790323960245,0.7173209684777314,70.38224964745423,2129.2532135999363,-495.58406372808304,458.5277705528766,77142.60732653986,476913.2233260294,-3.7839243215109577,80.40782106102094,0.09596800804138184,0.09596800804138184,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.07866504269707578,0.8195682598580639,1.2822051305486093,0.459572192747752,0.2855119689401349,0.35835262518939154,0.7137504979624755,-7.365930839814281,106.37309835014499,-142.13044297546398,55.70866052514064,-602.5051377869313,25163.587789263587,6.459634859224845,94.94895229100179,0.09600472450256348,0.09600472450256348,0.0,7.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.05243137739207343,0.5464433241372743,1.155425090686312,0.26155810983395705,0.178776404987101,0.05960071731977364,0.52110181183411,-0.7779657286283622,156.02118622513856,-173.77495046524965,64.8975141736514,687.8596405909917,28641.77067953153,5.5396873416890084,140.32514150341223,0.09594893455505371,0.09594893455505371,0.0,9.0,2.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.05414218665021422,0.554287474990243,1.0055034383090775,0.23103690263332513,0.17570384612476544,0.10847465752973857,0.5304346078546888,7.108511365591392,118.23136839253868,-117.60256761041832,53.717239209163274,1668.7878975997978,20868.255130752907,-4.317447795190733,76.5803862872248,0.09999489784240723,0.09999489784240723,0.0,11.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.043075477220330054,0.48047555003173936,0.792903912727753,0.2607152802641654,0.13665301108638697,0.1888052098743014,0.40209464088171804,-0.5214258389419908,132.01236025177408,-82.44695196296169,48.928676350875435,160.66386818613404,21610.612210148804,-2.2406946042830422,198.03016477491818,0.09199738502502441,0.09199738502502441,0.0,11.0,6.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.04021952218219388,0.4322180765060081,0.7509419023041964,0.2578533207428245,0.1498285897428345,0.15439717881885973,0.3220350735996184,5.359134728840134,111.85543372690304,-110.10121978286233,62.475881874715384,1035.9621370500295,29146.234159696858,20.200306228262175,302.24583699623713,0.09600400924682617,0.09600400924682617,0.0,17.0,13.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.029571374034045552,0.3771693107038362,0.7409257664154183,0.1293082356655287,0.16068366290798997,0.13447130507364585,0.3036899517749194,0.28856921951646136,67.2446346669108,-69.56412504537941,40.31800106974997,321.17307397348293,13853.892901566014,-27.752464251714457,193.37681667798057,0.09203267097473145,0.09203267097473145,0.0,7.0,5.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.01935878264375733,0.24911094244130083,0.5423388130751989,0.12935800641499387,0.13020201282698837,-0.10899422749567958,0.20948355007659547,12.75605519635781,105.41425567783136,-30.1490508941076,37.358467451209194,4411.545054256948,12563.175587686826,-12.022311470004366,110.04586181880747,0.09193277359008789,0.09193277359008789,0.0,1.0,2.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.037775636321358816,0.39353939257735443,0.8692584192166574,0.25741275358901894,0.169963821328052,-0.34179669193272194,0.10616008648944653,2.7562908765979084,152.89884378017584,-152.92430283131853,70.11814609109375,-481.4214438370681,30979.91296266368,0.13573671472480853,150.6158301754981,0.0960078239440918,0.0960078239440918,0.0,0.0,10.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0067708333333332815,0.25358286698224064,0.39895294332501935,0.08687226187871908,0.09042988732142136,-0.25358286698224064,0.0,-2.3776954629052067,36.6428310362485,-34.79266217112973,23.414316808649534,-2543.458478348584,9558.528184014838,0.0,0.0,0.032001495361328125,0.032001495361328125,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.5286458333333334,0.975925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.5286458333333334,0.975925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.005555555555555536,0.09267809561845537,0.1239761477012225,0.06613785447573022,0.023850850641928812,0.0,-0.09267809561845537,1.723999805285013,2.41383617978995,1.0341634307800762,0.6898363745049368,92.36511675572791,0.0,0.0,0.0,0.06399989128112793,0.06399989128112793,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.05550598961558899,0.7194240076790093,1.1622717468171522,0.231332786205318,0.3450013329470835,-0.0651600381448184,-0.7072277209200044,10.87265188422579,173.367346862084,-173.555670282058,111.36961529180766,92.87739807436947,53167.49252024561,-4.056987255589996,58.20506973292714,0.08802914619445801,0.08802914619445801,0.0,5.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.10702846754794602,1.0764789144528983,1.8845380833532581,0.5312178932076579,0.3428539733691076,-0.5393151603722943,-0.9129298170258956,5.496332088276607,172.38767493728494,-199.68052095745233,118.93425281811271,-3644.7438690449003,53689.7121145606,-0.12248272891265444,78.98062052402754,0.09951663017272949,0.09951663017272949,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.16290403331553277,1.7170339304820974,2.667338275988901,1.1973671450463872,0.30552546956237175,-0.9140828317769536,-1.4427946582396487,10.080714406114058,409.446265250017,-252.0208541626644,145.71605484867354,4111.547726168194,74737.0807095504,-1.5899768304899862,47.63115577807415,0.09600067138671875,0.09600067138671875,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.11516005025763323,1.2087776957470915,1.7272097403774511,0.5220380397429297,0.3054577685114798,-0.6014275574913169,-1.0399500200344196,-4.901570167465188,285.50483780866574,-167.70447429900034,106.94088888344383,1056.066937348082,52575.242051250185,-3.9008458158304258,43.030966554834876,0.09600329399108887,0.09600329399108887,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0681774511145115,0.7239178143130086,1.2631892153420448,0.20602002483456647,0.23697208528649016,-0.5231521562431459,-0.44739373727345083,0.9460107138802908,254.85955076118756,-141.41123135735162,95.04226131734168,433.6186798885739,47227.384479041495,-6.2841027770808235,138.50170346474513,0.09598684310913086,0.09598684310913086,0.0,0.0,9.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0044560185185185675,0.32586283924796616,0.459844273851741,0.13142026369880136,0.1407296338955144,-0.17258141463071916,-0.153281424617247,-11.589424375581629,18.256258467381343,-41.4351072185446,29.845682842962972,-7530.868818226559,0.0,95.93831359871432,294.1154023838291,0.015997886657714844,0.015997886657714844,0.0,2.0,2.0,0.0,0.0,0.0
