num_events,num_moves,num_clicks,num_scrolls,movement_distance,velocity_mean,velocity_max,velocity_min,velocity_sd,velocity_x_mean,velocity_y_mean,acceleration_mean,acceleration_max,acceleration_min,acceleration_sd,jerk_mean,jerk_sd,angular_velocity_mean,angular_velocity_sd,movement_duration,total_time,pause_time,flips_x,flips_y,pause_count,hold_time_mean,hold_time_sd
14.0,14.0,0.0,0.0,0.6181572448138567,6.423384782114061,11.388907924864098,2.4623066268560962,2.3360713711190395,-0.8718843051240039,-4.968822791491089,8.60781315660302,1394.955314465924,-684.2190027063263,547.7909724911577,2963.422614745749,143140.53971493643,-30.663330900536803,206.7521786664055,0.09801650047302246,0.09801650047302246,0.0,2.0,3.0,0.0,,
13.0,13.0,0.0,0.0,0.06045152508910028,0.677054717500749,3.602860588925501,0.15065782013205922,0.9046148217904004,-0.20150283997488713,0.4620717582252107,-34.800240845153034,40.66717581091299,-394.7995355645272,117.57596038315637,5203.246812475666,18560.86148333831,34.014940927656816,170.30784885667398,0.09011697769165039,0.09011697769165039,0.0,0.0,5.0,0.0,,
14.0,14.0,0.0,0.0,0.055243032671441435,0.5658550422754913,1.1067520985446775,0.148850731352775,0.2509555541992307,-0.5487680301930624,0.047200979706709306,-4.2288017245365195,73.07108775565445,-129.633942376085,51.298640471134824,-1560.4888868058154,10660.209721719722,12.520290328251656,51.81004465660321,0.09674286842346191,0.09674286842346191,0.0,0.0,8.0,0.0,,
11.0,11.0,0.0,0.0,0.03502890549073681,0.46621263859429113,0.8434012755729682,0.1326384380611336,0.27444639941582,-0.4296072041120017,-0.017682074295878036,-10.467903096977633,29.54079447883376,-48.59010915956158,21.07376901774836,180.0099123279952,4546.221043492116,10.711540592422583,111.0023612003812,0.07493376731872559,0.07493376731872559,0.0,0.0,7.0,0.0,,
10.0,10.0,0.0,0.0,0.006560043967053564,0.09840504487525431,0.1643865853964426,0.06327762168216336,0.03611249953312774,0.06372675281600937,0.012510751155048091,-0.5199059416737597,15.629319273881793,-9.377996647997985,7.737031731217401,206.16823271341323,1986.5152029133976,-29.893607288256895,143.94849471737368,0.06768059730529785,0.06768059730529785,0.0,3.0,5.0,0.0,,
8.0,8.0,0.0,0.0,0.0406112032054371,0.785187316210728,1.6965438062345668,0.1436295297894951,0.5683335150057663,-0.6373553204806355,0.42486129484019036,35.10162530342873,64.0404477689981,0.7288671741126224,22.047010258138954,1486.1868025183812,3533.590321074672,-6.817812905064798,48.995969248314154,0.05183577537536621,0.05183577537536621,0.0,0.0,1.0,0.0,,
13.0,13.0,0.0,0.0,0.08260308774015038,0.9267721217427263,1.8792261923049356,0.12292643353954376,0.49144494437882275,-0.8830105617972167,-0.14403078161895172,-13.257541849488312,99.51219968664103,-103.19339808506976,60.9441918167191,-716.3878232200784,15391.87791624362,19.542575144234032,42.33278625025755,0.08948469161987305,0.08948469161987305,0.0,1.0,2.0,0.0,,
11.0,11.0,0.0,0.0,0.01245780551549813,0.16605883125939397,0.2649694145671647,0.07160526200777913,0.06160253013140167,-0.05594717207199076,-0.14783304175806009,0.18538039275295123,23.981045273486103,-16.521833261266114,11.773063729576956,31.587679292576524,2999.7522455047447,-8.535857652195444,104.32925379205038,0.07528185844421387,0.07528185844421387,0.0,3.0,2.0,0.0,,
1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.05656743049621582,0.05656743049621582,0.0,0.0,0.0,0.05656743049621582,0.0
3.0,3.0,0.0,0.0,0.002124717563736783,0.13281239011104984,0.2656247802220997,0.0,0.13281239011104984,0.06511276701440613,0.11575603024783353,33.207483701480584,33.207483701480584,33.207483701480584,0.0,,,132.31833543135562,0.0,0.014996528625488281,0.014996528625488281,0.0,1.0,1.0,0.0,,
14.0,14.0,0.0,0.0,0.08026908093938133,0.834640333105227,1.4547355091930452,0.11572843479393329,0.41939576458160777,0.1467440684924618,0.8096085426244295,16.936617536673193,85.45074022240608,-83.73052611238606,51.85084961689977,-43.53233516290943,12099.236400443393,1.38560163736289,32.2753307200675,0.09753608703613281,0.09753608703613281,0.0,6.0,0.0,0.0,,
13.0,13.0,0.0,0.0,0.11137892716551417,1.2383981149048968,2.2508376428244112,0.3967460479617421,0.5425799479468105,0.014981041331038343,1.235732189664592,-7.42018745450186,179.86242290689077,-190.35416253818553,123.50819559194474,3726.8582014286817,30761.823092540442,2.550138487293533,7.131697814589481,0.09152674674987793,0.09152674674987793,0.0,4.0,0.0,0.0,,
13.0,13.0,0.0,0.0,0.08512961062698753,0.9501405288847083,1.3141211840841145,0.3708714292027253,0.34645164154244473,-0.2572758759526366,0.9088612132990477,2.319301236641289,104.43481009928378,-116.36423308206075,65.48609152104795,1178.9601578541583,14267.936856481329,-1.1473049865836549,11.137560326581406,0.09005236625671387,0.09005236625671387,0.0,0.0,0.0,0.0,,
13.0,13.0,0.0,0.0,0.015806387313572957,0.1783500082133588,0.6653693719408202,0.0,0.18424377917143578,-0.011626092900339773,0.17762268277997714,-5.5821115513703,20.55895183185332,-43.987182509789264,17.560859178659058,573.9921783882696,3504.804119893535,3.344658703314751,126.3942616729738,0.09021973609924316,0.09021973609924316,0.0,1.0,4.0,0.0,,
8.0,8.0,0.0,0.0,0.005150462962962982,0.07754063100556852,0.13234332304701468,0.0,0.05236293170077945,-0.004958942834745271,0.07258168817082325,1.826888973141302,18.092925358118595,-4.33887222472297,7.478852218061058,-32.86852456152403,1831.7105125544035,-11.402224870469581,188.23396206589396,0.09736919403076172,0.09736919403076172,0.0,2.0,2.0,0.0,,
7.0,7.0,0.0,0.0,0.013267395645093352,0.30102347152424697,0.47592637538042254,0.0,0.17534479858400578,-0.1888501432846776,0.23121924275826586,12.23319173532921,30.4389517980972,-2.9595217123511954,11.05891806412672,-705.8546822090127,2022.1125620314706,52.312520660930616,106.19567445624818,0.04408121109008789,0.04408121109008789,0.0,1.0,1.0,0.0,,
12.0,12.0,0.0,0.0,0.042447311513926236,0.5926131389829493,1.6942696215006974,0.18310224760551524,0.4113992015941079,-0.2305295094861055,0.5414547646490289,37.354416775787655,504.3201273868601,-157.19101737656254,169.3465837600108,10381.29640695747,64969.5074641076,-3.1931666178248257,24.54432288047733,0.0895378589630127,0.0895378589630127,0.0,0.0,0.0,0.0,,
12.0,12.0,0.0,0.0,0.020591651392778423,0.24674448238230334,0.5000894928493727,0.0,0.14337262566972384,-0.018759883657475607,0.24404610774470878,-2.8606056286816575,53.38546057810209,-65.05574592817118,30.31172999544238,-93.00350047179028,7622.920039858557,-1.3121025035849414,103.53953044335044,0.08271670341491699,0.08271670341491699,0.0,3.0,2.0,0.0,,
5.0,5.0,0.0,0.0,0.002777777777777768,0.06389247521033677,0.13210023520578518,0.0,0.046754298860819714,0.0,0.06389247521033677,1.6841839267110308,10.037929048768067,-9.100546046097689,8.000107197100021,-218.715679345998,1099.7571725879704,-1.1650162565310467,86.93347497610503,0.05152177810668945,0.05152177810668945,0.0,0.0,2.0,0.0,,
11.0,11.0,0.0,0.0,0.16794302461795516,2.344399508054935,6.56048035556178,0.0,2.502914184031092,1.8774877778642736,-1.3673515700887524,93.3059705958495,495.88188825654566,-72.90668088066036,162.54375740439278,-2081.379850795094,30121.860769591553,-9.861974529088135,23.646498749046643,0.07452058792114258,0.07452058792114258,0.0,1.0,1.0,0.0,,
14.0,14.0,0.0,0.0,0.5520286862565271,5.640209550323613,9.726737142258706,1.3620793355357306,2.8153903740087816,4.8196671417290595,-2.9163382545237457,-106.47251875113807,543.1596179207186,-855.5568410005262,350.79849268571024,8035.590252849914,73243.74319547783,1.6367870795154864,9.048538256197558,0.09766530990600586,0.09766530990600586,0.0,0.0,0.0,0.0,,
13.0,13.0,0.0,0.0,0.055481689971126714,0.6274233428268401,1.3112914318082,0.14231951095041806,0.2632909641250497,0.5879947360339609,0.08641015931570123,9.56464218939601,148.92321040668205,-73.83832301511728,54.23743203541257,2256.878120747693,9383.897123585564,-0.08648752199380928,84.47058991607503,0.0901029109954834,0.0901029109954834,0.0,0.0,9.0,0.0,,
14.0,14.0,0.0,0.0,0.09003788220129416,0.946270286376481,1.4703090769920983,0.3241243558166863,0.33477801232352283,0.9415602078829929,0.05624141487964744,-5.0657370360405265,80.95498183817179,-142.65845160879894,67.4929392214288,596.0642442787492,16552.309232693202,-0.037115056501452415,12.10759955168052,0.09658288955688477,0.09658288955688477,0.0,0.0,4.0,0.0,,
2.0,2.0,0.0,0.0,0.0005208333333333037,0.0669035076973297,0.0669035076973297,0.0669035076973297,0.0,0.0669035076973297,0.0,,,,,,,,,0.007784843444824219,0.007784843444824219,0.0,0.0,0.0,0.0,,
9.0,9.0,0.0,0.0,0.030229025448535105,0.5113514036365586,1.1091253723260222,0.06514577679698234,0.3046027438130964,0.5016891624726079,-0.016520958748021102,19.059589401317762,65.05684425291406,-10.81896868826865,25.58688458228803,1719.6909772164265,5547.879574091022,18.912202281427223,46.3252455017966,0.059418678283691406,0.059418678283691406,0.0,0.0,1.0,0.0,,
9.0,9.0,0.0,0.0,0.005902777777777823,0.09190142657933596,0.2229798237555746,0.0,0.08624101638144947,0.05401326551172814,0.037888161067607826,1.5773731336541006,18.9017622259897,-8.263297949423226,9.789207763656991,731.9480489295206,1684.8732210350875,27.371428526967517,137.47409699622935,0.09008598327636719,0.09008598327636719,0.0,1.0,3.0,0.0,,
7.0,7.0,0.0,0.0,0.003955877300386948,0.08605766961662947,0.1602746405354634,0.0,0.053238824795374326,-0.03813779269342196,0.0564066093865578,3.2696030232014897,10.24065360616873,-5.200564476272841,5.617702889079221,696.9794591375536,1043.8771038078,-92.81511340342581,223.8924681217614,0.07395696640014648,0.07395696640014648,0.0,3.0,4.0,0.0,,
9.0,9.0,0.0,0.0,0.011444955945441744,0.19148274848357152,0.408783349589181,0.06506234612024092,0.10372542395555377,-0.16577718605406902,0.07691550515082764,-2.456285260712316,24.823365273700404,-37.14080981296032,21.303361097206967,99.63762116486994,5318.115758848322,13.070904102849012,71.36215029411413,0.06018567085266113,0.06018567085266113,0.0,0.0,5.0,0.0,,
1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,3.0,0.0,0.0,0.00625942736129593,0.38098557273479905,0.5980926721990697,0.16387847327052846,0.21710709946427062,-0.24995779939092466,0.2845323410147955,49.97054138788279,49.97054138788279,49.97054138788279,0.0,,,30.512433796771067,0.0,0.015172004699707031,0.015172004699707031,0.0,0.0,0.0,0.0,,
13.0,13.0,0.0,0.0,0.30054891894470315,3.317241543293504,6.83090597194659,0.6263078042536245,1.9095241558682563,-2.9830209971130586,1.4015431329016714,58.031756183342644,473.7015500634753,-358.28082527503983,227.36724102700796,-1910.3385079793127,52619.11862548396,-0.5632233829782158,11.838562991513815,0.09097409248352051,0.09097409248352051,0.0,0.0,0.0,0.0,,
14.0,14.0,0.0,0.0,0.3055373045058277,3.138052956344192,5.903756588065257,0.9303885349305294,1.5108352577976059,-2.2847965836796114,2.1483992808359433,7.52103389224544,371.2178637132106,-402.3397119907118,267.36536627318065,-3639.789513973903,63057.116860057235,0.6329770400830075,8.30813536304377,0.09646487236022949,0.09646487236022949,0.0,0.0,0.0,0.0,,
13.0,13.0,0.0,0.0,0.041458723788856434,0.460771402146112,1.1427799611196463,0.0,0.3336096947412234,-0.23050256760444743,0.3913933202508388,-7.05676248501829,42.002257885082834,-56.581739906623014,34.49879225205477,1041.1594164699031,7141.094883736923,-2.992710999556618,106.85288857777154,0.09042596817016602,0.09042596817016602,0.0,2.0,2.0,0.0,,
13.0,13.0,0.0,0.0,0.045372141482686,0.5173891363096182,1.1216579072262105,0.06702667321223642,0.358306538062339,-0.21342750382724207,0.46504929889208463,-5.194095350050897,128.1482860470515,-121.7583024285266,59.24791460761947,-172.9678271681207,15227.621589176973,13.326089735547601,48.60978121540691,0.09011244773864746,0.09011244773864746,0.0,0.0,1.0,0.0,,
14.0,14.0,0.0,0.0,0.05388413712354954,0.5609118583256852,1.0454730918535096,0.0641359130188028,0.26859089011407317,-0.5046770339427369,0.18224470610846047,4.0016798581458435,73.53373638773408,-69.26461155726439,44.48502572071867,157.5921279711909,10133.501102652997,6.34586932428392,43.905127867917344,0.09709882736206055,0.09709882736206055,0.0,0.0,5.0,0.0,,
9.0,9.0,0.0,0.0,0.022007228788136678,0.36254363957584507,0.9027290432902186,0.0,0.30352193125360183,-0.31708455077438424,0.15337544791423205,-16.627340553283364,13.386615836807634,-35.274299750853345,16.207151271733224,-35.609049728402546,3528.3471195584307,-73.20897896056479,122.20565649331586,0.08184957504272461,0.08184957504272461,0.0,2.0,1.0,0.0,,
10.0,10.0,0.0,0.0,0.012918573265239548,0.19334847862955756,0.345856712618467,0.0,0.11030312221235447,0.11887139735059511,0.13730852780901265,2.373114056605488,37.801205115399455,-49.34109500552676,26.926619150081354,150.7654709348478,7115.497698429086,-22.7528391531911,85.48023921424242,0.06723475456237793,0.06723475456237793,0.0,5.0,2.0,0.0,,
13.0,13.0,0.0,0.0,0.03315576296170922,0.38570007513331,0.8507992145789691,0.15178688132666487,0.2286434956149203,0.09271695956822662,0.3563358823538925,8.052023902940725,93.46664552447254,-62.19154425901688,46.917320083503924,1989.0470542143642,12246.980904380573,10.225031704606323,39.78724353462507,0.08953237533569336,0.08953237533569336,0.0,6.0,0.0,0.0,,
7.0,7.0,0.0,0.0,0.010089237531099103,0.2312149222494303,0.40294633919746287,0.07443804591042782,0.1362079235263596,0.06094205947319511,0.21172911273570805,-5.7120666021974085,36.29778234400158,-33.33815649469353,25.9039047316067,1699.6339717301748,6590.212719941135,-43.065557913589934,95.6685858294491,0.04501485824584961,0.04501485824584961,0.0,4.0,1.0,0.0,,
1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
10.0,10.0,0.0,0.0,0.06159843810221127,0.9347959703908015,2.2080892577611078,0.06925133407301713,0.6474181324023702,-0.7836244236992553,-0.5042264437825152,38.62813781981764,115.58673313609975,-24.717741863548884,48.368989836466596,1362.9639902581155,10365.344420745521,9.624981366618245,32.18991067723506,0.0670623779296875,0.0670623779296875,0.0,0.0,1.0,0.0,,
13.0,13.0,0.0,0.0,0.1480398943874139,1.6533621837516843,2.7744460254538956,0.3975121136665854,0.7217709809330939,-1.248031647625656,-1.0415683777486198,-11.12176592153298,171.7812612410156,-338.97464941502034,145.95144327902693,-1231.114989121407,31097.497834822374,5.56886938365918,11.366468844663205,0.09024548530578613,0.09024548530578613,0.0,0.0,0.0,0.0,,
14.0,14.0,0.0,0.0,0.05475272789936193,0.5633499912928042,1.2440988982679027,0.11570429956248707,0.27965114130722984,-0.15954194097804456,-0.5340229338336138,-8.875780616946884,42.08339065607146,-52.52860469485909,29.09131693174119,1182.2764623393516,4492.7444381042515,2.620145969076729,22.923473390868814,0.09754014015197754,0.09754014015197754,0.0,2.0,0.0,0.0,,
13.0,13.0,0.0,0.0,0.017564442354262882,0.19757528534687438,0.4038799116358157,0.0,0.11325784481970153,-0.036012200243681895,-0.18738382996388278,-1.622953986188274,44.17079478148865,-50.493163101545456,23.613547252398735,27.777005752476697,5881.527254755507,-4.732535132810949,130.43854258742678,0.08953118324279785,0.08953118324279785,0.0,8.0,4.0,0.0,,
3.0,3.0,0.0,0.0,0.0018518518518518268,0.03554737092750741,0.04022928840563596,0.03086545344937886,0.004681917478128548,0.0,-0.03554737092750741,0.40683645040107896,0.40683645040107896,0.40683645040107896,0.0,,,0.0,0.0,0.05301499366760254,0.05301499366760254,0.0,0.0,0.0,0.0,,
5.0,5.0,0.0,0.0,0.013541666666666667,0.4535984170878844,0.6680076107637941,0.14889131225009034,0.21747441990097602,0.4535984170878844,0.0,23.325826440047262,45.80050192133519,-2.140971153252448,19.686049310620035,-1607.3644719927536,4383.789843254252,0.0,0.0,0.029528379440307617,0.029528379440307617,0.0,0.0,0.0,0.0,,
13.0,13.0,0.0,0.0,0.08746559455273936,0.9892735730709554,2.1957599007973694,0.25274336620539745,0.4962835026933926,0.9023287602652293,0.3956646604347232,5.972392929414732,165.81447953290336,-146.6797336962382,96.82381209305868,-321.65243445035014,19389.95585249309,2.2828846362144932,19.94163238505738,0.09053897857666016,0.09053897857666016,0.0,0.0,0.0,0.0,,
14.0,14.0,0.0,0.0,0.07033077855998379,0.7324176233269556,1.3312253537584893,0.2453558337691429,0.3750619685325498,0.273352812078243,0.6544058843322984,-9.490014365225893,137.24895343793807,-108.11210475780875,55.12240812611737,396.71089005659417,13839.879666592784,5.138990764799311,20.38271977833527,0.09664058685302734,0.09664058685302734,0.0,2.0,0.0,0.0,,
13.0,13.0,0.0,0.0,0.0369337640867121,0.4251738154078652,0.9722882833196198,0.0,0.2821084046844452,0.16305589257265132,0.3856073415061045,0.6118122135337057,101.00829714694575,-84.50787673428007,50.224168905004404,1008.1222189781558,12950.112289445255,3.346984441522574,70.60466180842951,0.0894620418548584,0.0894620418548584,0.0,2.0,2.0,0.0,,
13.0,13.0,0.0,0.0,0.03234444297136236,0.371598397854489,0.7425680644172079,0.07441775960937917,0.2123108102827199,0.26363471248861436,0.25524187089789935,2.978284240194702,90.41391318112117,-65.20558176063446,45.54521618289755,-111.77323013846095,11476.702764325619,-13.820350863361798,49.72735890672056,0.08979225158691406,0.08979225158691406,0.0,0.0,1.0,0.0,,
14.0,14.0,0.0,0.0,0.02587481637435375,0.2667200868555428,0.4858963331055461,0.07030100190942028,0.12313945979718305,0.1714938500079143,0.19119840184590714,-1.0572503550406662,44.87740497422346,-36.88206093454426,27.507750589766555,-240.4498025106627,7149.436337451476,-4.441399902747391,76.83174933968282,0.0962057113647461,0.0962057113647461,0.0,0.0,2.0,0.0,,
4.0,2.0,2.0,0.0,0.0005208333333333315,0.052078416414363976,0.052078416414363976,0.052078416414363976,0.0,0.052078416414363976,0.0,,,,,,,,,0.010000944137573242,0.07577824592590332,0.06577730178833008,0.0,0.0,0.0,0.05977988243103027,0.0
11.0,11.0,0.0,0.0,0.11788956002708606,2.0997264308144876,7.231267541236028,0.17371343750414103,2.0714091014308598,-1.9832467600992405,-0.6749777289022056,211.77590593011692,2565.59554449792,-716.2191397487917,874.7340282791272,73101.87978730362,416852.07366195874,2.6440649414361115,18.862377835094225,0.07371020317077637,0.07371020317077637,0.0,0.0,1.0,0.0,,
8.0,8.0,0.0,0.0,0.11110747577721501,2.103919870125713,3.5826103389157997,0.2183399091444359,1.3847066039732017,-1.5576447269786535,-0.7535105097952541,-74.70405213838029,23.580642483748385,-220.61671699004225,80.52190979837022,-946.3944539970591,12979.598303266699,55.137553097283956,117.37021211740567,0.052617549896240234,0.052617549896240234,0.0,1.0,0.0,0.0,,
6.0,6.0,0.0,0.0,0.003435043967053621,0.09163199226086302,0.13577888558447698,0.0,0.05074164299987174,0.028192415099179302,-0.07326553602399552,-0.28436563650665714,14.464516269442212,-9.899588814739367,9.769572256188013,435.50420224593563,1920.5421644533162,23.382285992642796,150.82152761596714,0.03734183311462402,0.03734183311462402,0.0,3.0,2.0,0.0,,
