num_moves,num_clicks,num_scrolls,click_x_mean,click_y_mean,movement_distance,velocity_mean,velocity_max,velocity_min,velocity_sd,velocity_x_mean,velocity_y_mean,acceleration_mean,acceleration_max,acceleration_min,acceleration_sd,jerk_mean,jerk_sd,angular_velocity_mean,angular_velocity_sd,movement_duration,total_time,pause_time,flips_x,flips_y,pause_count,hold_time_mean,hold_time_sd
2.0,0.0,0.0,0.0,0.0,0.0008333333333333526,0.10858870800712732,0.10858870800712732,0.10858870800712732,0.0,0.0,0.10858870800712732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007674217224121094,0.007674217224121094,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0013541666666665453,0.08381214818562069,0.10992399702276782,0.057700299348473566,0.02611184883714713,0.028850149674236783,0.05496199851138391,-5.785580138670975,-5.785580138670975,-5.785580138670975,0.0,0.0,0.0,-174.0200030813825,0.0,0.01660752296447754,0.01660752296447754,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03232717514038086,0.03232717514038086,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0005208333333333592,0.02210529156210477,0.04421058312420954,0.0,0.02210529156210477,0.02210529156210477,0.0,3.7527852675504856,3.7527852675504856,3.7527852675504856,0.0,0.0,0.0,0.0,0.0,0.020462751388549805,0.020462751388549805,0.0,1.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.012327960570620598,0.1877508802050478,0.3343772983719837,0.0,0.1052088148826224,0.14999269431584755,-0.07764122244186535,2.417825750139095,83.815217837256,-73.34103765455384,35.43853631148905,-117.82391238827248,15524.695942734556,1.1922018768098952,191.1734705207102,0.07552289962768555,0.07552289962768555,0.0,4.0,10.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.027840778331380295,0.3001324950052153,0.5879839560903621,0.10186679101577101,0.11966926901228732,0.270276309646436,-0.08895513416252739,5.9078773815486985,106.93465395586894,-54.180355659517396,46.9748200795549,2826.769478886318,22503.83265043913,-2.2379396228747277,96.54902790101559,0.09625244140625,0.09625244140625,0.0,0.0,9.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.06592837739882954,0.702887577813275,1.2303602046610875,0.32244034440344926,0.1995075515827085,0.6286251324184026,-0.29004394629546715,5.055136371658998,161.57331554868819,-100.7020547611679,63.48578214410699,4095.456995002506,28459.611963735013,6.7504997627060375,65.312475504102,0.09629106521606445,0.09629106521606445,0.0,0.0,4.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.13476412984079295,1.4273629630735325,2.516006713450983,0.7751409570132035,0.3812080140703172,1.2637799204534603,-0.6437946450758761,11.300313937812637,427.69383860310177,-189.4655236713166,120.24284009404211,5327.401107165042,56945.50266080215,3.4691743121823655,29.534244295709655,0.09602189064025879,0.09602189064025879,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.1536723171015421,1.7153851059686196,2.6454148456243103,0.576872390724815,0.5146849912810079,1.6180597954745501,-0.49428429346694047,16.722158340175483,619.851202160448,-224.1672125318911,175.05808954987438,5110.521516821254,95320.51424938646,-1.5073650909217358,48.204368798469716,0.09290480613708496,0.09290480613708496,0.0,0.0,1.0,0.0,0.0,0.0
