num_events,num_moves,num_clicks,num_scrolls,movement_distance,velocity_mean,velocity_max,velocity_min,velocity_sd,velocity_x_mean,velocity_y_mean,acceleration_mean,acceleration_max,acceleration_min,acceleration_sd,jerk_mean,jerk_sd,angular_velocity_mean,angular_velocity_sd,movement_duration,total_time,pause_time,flips_x,flips_y,pause_count,hold_time_mean,hold_time_sd
4.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,0.0,0.08287549018859863,0.08287549018859863,0.0,0.0,0.0,,
12.0,12.0,0.0,0.0,0.18876228456257127,2.3062994792179223,4.738196649759617,0.27963742421367266,1.6115731534407123,2.06073076003941,1.0205956715584283,60.88930689072671,260.1194121285304,-258.5815734457838,133.76412498275062,29.89235660660951,28342.849115027042,0.4853577582445869,14.584702880504233,0.08191299438476562,0.08191299438476562,0.0,0.0,0.0,0.0,,
12.0,12.0,0.0,0.0,0.3231449245008489,3.9516186535471287,6.7243624112277764,1.0878131906726694,1.7925651400618074,2.793572503487436,2.7760655151284515,-36.533665908376605,499.45815523380713,-579.440176546636,349.5395014235303,9335.66425408521,82690.66202626961,-2.4500103298695484,10.660631525260976,0.08212542533874512,0.08212542533874512,0.0,0.0,0.0,0.0,,
11.0,11.0,0.0,0.0,0.0770615109769742,4.611863849937971,40.71131184175732,0.12428760568421435,12.039301350587488,3.0502831581999037,3.2810973920770663,-881.3536319528006,67.67694738286843,-7820.506379871226,2454.061759760204,119541.99122700788,305597.4538256815,17.34094030300378,27.957216087245452,0.06556534767150879,0.06556534767150879,0.0,4.0,0.0,0.0,,
13.0,13.0,0.0,0.0,0.015698854289423428,0.17663268170109106,0.4203949145834997,0.0,0.10563055154840542,-0.06927727945338477,0.11471278831204577,-3.8900136072756464,17.69284097911532,-22.74758710530243,12.294305011161764,155.09503775530658,2519.0718475875165,16.3625387065263,187.34169561456332,0.09008383750915527,0.09008383750915527,0.0,4.0,5.0,0.0,,
4.0,4.0,0.0,0.0,0.0033819877840436017,0.15532436439797714,0.1912393884752822,0.1320732805582422,0.02576093448445103,-0.07095832581372467,-0.0449288263357187,-4.016819670150486,-1.5101410902613255,-6.523498250039648,2.506678579889161,715.1009688381858,0.0,67.65965541514976,307.36763485463337,0.02174520492553711,0.02174520492553711,0.0,1.0,2.0,0.0,,
11.0,11.0,0.0,0.0,0.017092015374419116,0.23181535080419086,0.38469455721296975,0.0,0.11748896696696912,-0.044355121052715614,-0.2255373096251235,0.6619171031351168,29.090044842347947,-50.72226337105366,25.71013324482143,-532.5885672089689,6183.392202051341,-8.727370657812934,108.8058601615373,0.07385468482971191,0.07385468482971191,0.0,5.0,2.0,0.0,,
13.0,13.0,0.0,0.0,0.016730722906412674,0.1890752057675518,0.404049524633487,0.11573188350611335,0.08075054264499137,-0.08501981113343748,-0.15545266016580395,0.8780852908666446,42.58100941051,-36.03694714816902,18.077753790441488,-286.8103997124168,4311.763292961536,1.5250426898029459,83.02302481212352,0.09051370620727539,0.09051370620727539,0.0,2.0,2.0,0.0,,
12.0,12.0,0.0,0.0,0.01118982165401106,0.18183351314043852,0.6966528885143595,0.0,0.18756288341713417,-0.13176024632783412,-0.11027673719280938,15.49998687922194,310.9343288328207,-114.18019701813573,104.29593800672266,-13729.245293207245,45521.63682456366,13.078152651151294,202.92595922583234,0.09655904769897461,0.09655904769897461,0.0,2.0,3.0,0.0,,
10.0,9.0,1.0,0.0,0.005229025448534995,0.08936113809400406,0.21259867781027325,0.0,0.06642580445506506,-0.07581491478365822,0.023161975850557313,5.038230336363781,33.044588325672166,-10.713289401342653,14.24680006707412,1230.2612279611049,3802.0298557439864,-153.6284812858037,191.9324788731928,0.06798291206359863,0.06798291206359863,0.0,2.0,1.0,0.0,,
