Feature,Importance
44_click_x_mean,15
49_angular_velocity_sd,15
19_velocity_y_mean,15
5_velocity_y_mean,15
6_velocity_x_mean,15
48_velocity_max,15
42_num_moves,15
3_pause_time,15
48_velocity_y_mean,15
2_pause_time,15
42_click_x_mean,15
2_click_x_mean,15
23_total_time,15
7_pause_time,15
16_num_moves,15
36_angular_velocity_mean,15
3_acceleration_min,15
43_num_moves,15
13_velocity_y_mean,15
45_acceleration_mean,15
47_num_moves,15
9_num_moves,15
4_angular_velocity_sd,15
16_click_x_mean,15
49_movement_distance,15
22_angular_velocity_sd,15
4_angular_velocity_mean,15
18_num_moves,15
31_velocity_min,15
30_total_time,15
17_angular_velocity_sd,15
21_velocity_x_mean,14
20_click_x_mean,14
18_click_x_mean,14
12_velocity_min,14
21_velocity_min,14
22_click_x_mean,14
24_velocity_y_mean,14
22_total_time,14
21_total_time,14
36_pause_time,14
26_jerk_mean,14
2_num_moves,14
47_jerk_mean,14
2_acceleration_mean,14
45_jerk_mean,14
32_pause_time,14
9_acceleration_mean,14
4_num_moves,14
44_velocity_max,14
33_acceleration_mean,14
43_angular_velocity_mean,14
43_velocity_y_mean,14
5_pause_time,14
40_velocity_y_mean,14
8_velocity_x_mean,14
6_angular_velocity_mean,14
6_angular_velocity_sd,14
36_velocity_y_mean,14
39_velocity_x_mean,14
30_angular_velocity_mean,14
32_num_moves,14
30_velocity_min,14
11_num_moves,14
49_pause_time,14
26_total_time,14
48_pause_time,14
28_click_x_mean,14
1_velocity_y_mean,14
38_velocity_min,14
48_velocity_min,14
29_num_moves,14
10_angular_velocity_mean,14
6_acceleration_mean,13
25_jerk_mean,13
21_num_moves,13
0_velocity_mean,13
46_angular_velocity_sd,13
49_click_x_mean,13
7_acceleration_mean,13
14_click_x_mean,13
45_acceleration_min,13
1_velocity_x_mean,13
45_num_moves,13
16_acceleration_mean,13
42_total_time,13
17_velocity_x_mean,13
1_acceleration_min,13
15_acceleration_mean,13
15_velocity_y_mean,13
44_acceleration_max,13
40_angular_velocity_mean,13
7_num_moves,13
7_acceleration_min,13
33_total_time,13
26_angular_velocity_mean,13
25_velocity_min,13
11_velocity_x_mean,13
27_jerk_sd,13
24_angular_velocity_sd,13
12_angular_velocity_mean,13
23_angular_velocity_sd,13
10_num_moves,13
23_num_moves,13
22_pause_time,13
13_num_moves,13
7_jerk_sd,13
22_angular_velocity_mean,13
13_acceleration_mean,13
35_velocity_min,13
37_velocity_min,13
36_jerk_mean,13
8_movement_distance,13
36_velocity_min,13
15_pause_time,13
42_acceleration_max,12
40_angular_velocity_sd,12
47_movement_duration,12
28_total_time,12
48_acceleration_max,12
28_angular_velocity_sd,12
34_num_moves,12
27_angular_velocity_mean,12
16_angular_velocity_sd,12
29_jerk_sd,12
39_num_moves,12
27_velocity_x_mean,12
27_num_moves,12
26_pause_time,12
36_angular_velocity_sd,12
22_velocity_min,12
