Feature,Importance
1_pause_count,0
22_hold_time_sd,0
22_hold_time_mean,0
22_pause_count,0
12_hold_time_sd,0
13_num_clicks,0
22_num_clicks,0
21_hold_time_mean,0
21_pause_count,0
21_num_clicks,0
13_pause_count,0
20_hold_time_sd,0
20_pause_count,0
13_hold_time_mean,0
13_hold_time_sd,0
20_num_clicks,0
19_hold_time_sd,0
48_pause_count,0
19_hold_time_mean,0
21_hold_time_sd,0
28_hold_time_mean,0
11_num_clicks,0
10_hold_time_sd,0
38_hold_time_sd,0
38_pause_count,0
7_num_clicks,0
38_num_clicks,0
37_hold_time_sd,0
37_hold_time_mean,0
37_pause_count,0
37_num_clicks,0
36_hold_time_sd,0
36_pause_count,0
43_pause_count,0
43_hold_time_mean,0
43_hold_time_sd,0
7_pause_count,0
44_num_clicks,0
7_hold_time_mean,0
7_hold_time_sd,0
35_hold_time_sd,0
35_hold_time_mean,0
35_pause_count,0
4_num_clicks,0
6_hold_time_sd,0
39_num_clicks,0
6_pause_count,0
5_pause_count,0
42_num_clicks,0
41_hold_time_sd,0
41_hold_time_mean,0
4_hold_time_mean,0
41_pause_count,0
41_num_clicks,0
4_pause_count,0
40_hold_time_sd,0
40_pause_count,0
42_pause_count,0
39_pause_count,0
42_hold_time_mean,0
42_hold_time_sd,0
5_hold_time_mean,0
43_num_clicks,0
40_acceleration_sd,0
5_hold_time_sd,0
6_num_clicks,0
39_hold_time_sd,0
39_hold_time_mean,0
34_hold_time_sd,0
3_hold_time_sd,0
34_pause_count,0
45_hold_time_sd,0
31_num_clicks,0
10_num_clicks,0
30_hold_time_sd,0
30_pause_count,0
30_num_clicks,0
29_hold_time_sd,0
29_hold_time_mean,0
45_pause_count,0
45_hold_time_mean,0
29_pause_count,0
9_hold_time_mean,0
29_num_clicks,0
3_num_clicks,0
2_hold_time_sd,0
28_hold_time_sd,0
5_num_clicks,0
28_pause_count,0
10_pause_count,0
2_pause_count,0
10_hold_time_mean,0
9_hold_time_sd,0
9_pause_count,0
8_pause_count,0
44_hold_time_sd,0
3_hold_time_mean,0
8_hold_time_sd,0
9_num_clicks,0
3_pause_count,0
34_num_clicks,0
33_hold_time_sd,0
33_hold_time_mean,0
44_pause_count,0
44_hold_time_mean,0
33_pause_count,0
31_pause_count,0
45_num_clicks,0
33_click_x_mean,0
33_num_clicks,0
32_hold_time_sd,0
15_pause_count,0
32_pause_count,0
32_num_clicks,0
31_hold_time_sd,0
31_hold_time_mean,0
49_hold_time_sd,0
