(0, 1920, 1080, 0, 0)
('move', 1730062465.899212, 624, 569)
('move', 1730062465.9032292, 629, 569)
('move', 1730062465.907213, 631, 569)
('move', 1730062465.9112756, 633, 569)
('move', 1730062465.9152277, 635, 570)
('move', 1730062465.9192138, 638, 570)
('move', 1730062465.9232123, 642, 570)
('move', 1730062465.9272122, 644, 572)
('move', 1730062465.9312308, 646, 572)
('move', 1730062465.9352808, 648, 572)
('move', 1730062465.9392118, 651, 575)
('move', 1730062465.9432352, 653, 575)
('move', 1730062465.9472737, 655, 577)
('move', 1730062465.95121, 657, 577)
('move', 1730062465.9552133, 659, 579)
('move', 1730062465.9592102, 664, 579)
('move', 1730062465.9632096, 666, 581)
('move', 1730062465.9672563, 668, 581)
('move', 1730062465.971232, 673, 583)
('move', 1730062465.9752135, 675, 583)
('move', 1730062465.9792118, 679, 586)
('move', 1730062465.98321, 681, 586)
('move', 1730062465.9872117, 683, 588)
('move', 1730062465.99121, 688, 590)
('move', 1730062465.995212, 690, 592)
('move', 1730062465.999265, 694, 594)
('move', 1730062466.003218, 697, 596)
('move', 1730062466.0072105, 701, 599)
('move', 1730062466.011275, 705, 601)
('move', 1730062466.015274, 710, 603)
('move', 1730062466.0192473, 712, 605)
('move', 1730062466.023212, 716, 607)
('move', 1730062466.0272615, 721, 610)
('move', 1730062466.031242, 725, 612)
('move', 1730062466.0352721, 729, 614)
('move', 1730062466.039215, 734, 616)
('move', 1730062466.043246, 738, 618)
('move', 1730062466.0472326, 743, 621)
('move', 1730062466.0512362, 749, 625)
('move', 1730062466.055231, 753, 627)
('move', 1730062466.0592687, 758, 629)
('move', 1730062466.063225, 762, 631)
('move', 1730062466.0672238, 767, 634)
('move', 1730062466.0712118, 773, 636)
('move', 1730062466.075211, 778, 638)
('move', 1730062466.0792112, 784, 640)
('move', 1730062466.0832422, 788, 645)
('move', 1730062466.0872118, 795, 647)
('move', 1730062466.0912583, 799, 649)
('move', 1730062466.0952206, 806, 653)
('move', 1730062466.0992453, 810, 656)
('move', 1730062466.1032197, 817, 660)
('move', 1730062466.1072116, 821, 662)
('move', 1730062466.1112099, 828, 666)
('move', 1730062466.115242, 832, 669)
('move', 1730062466.1192126, 837, 673)
('move', 1730062466.1232116, 843, 675)
('move', 1730062466.1272204, 848, 677)
('move', 1730062466.131297, 852, 680)
('move', 1730062466.135212, 858, 684)
('move', 1730062466.1392996, 863, 686)
('move', 1730062466.1432438, 867, 688)
('move', 1730062466.14721, 872, 693)
('move', 1730062466.15121, 876, 695)
('move', 1730062466.1552126, 880, 697)
('move', 1730062466.1592119, 885, 699)
('move', 1730062466.163285, 889, 701)
('move', 1730062466.16721, 893, 704)
('move', 1730062466.17421, 898, 708)
('move', 1730062466.1752124, 902, 710)
('move', 1730062466.1792116, 907, 712)
('move', 1730062466.1832106, 909, 715)
('move', 1730062466.187221, 913, 719)
('move', 1730062466.19121, 918, 721)
('move', 1730062466.1952133, 922, 726)
('move', 1730062466.199237, 926, 730)
('move', 1730062466.2032266, 931, 734)
('move', 1730062466.2072365, 935, 739)
('move', 1730062466.2112162, 939, 741)
('move', 1730062466.2152317, 944, 745)
('move', 1730062466.219236, 948, 750)
('move', 1730062466.2232265, 953, 754)
('move', 1730062466.2272506, 957, 758)
('move', 1730062466.23121, 961, 763)
('move', 1730062466.2352273, 963, 767)
('move', 1730062466.2392118, 968, 771)
('move', 1730062466.2432241, 970, 774)
('move', 1730062466.247227, 972, 778)
('move', 1730062466.25121, 977, 780)
('move', 1730062466.255211, 979, 782)
('move', 1730062466.2592537, 979, 785)
('move', 1730062466.26321, 981, 787)
('move', 1730062466.2672791, 983, 789)
('move', 1730062466.2712371, 985, 791)
('move', 1730062466.2752576, 988, 793)
('move', 1730062466.2792284, 988, 796)
('move', 1730062466.2832215, 990, 798)
('move', 1730062466.287214, 990, 800)
('move', 1730062466.2912123, 992, 802)
('move', 1730062466.2952418, 992, 804)
('move', 1730062466.2992609, 992, 809)
('move', 1730062466.303301, 994, 811)
('move', 1730062466.3072453, 994, 813)
('move', 1730062466.311252, 996, 815)
('move', 1730062466.315259, 996, 820)
('move', 1730062466.3192124, 996, 822)
('move', 1730062466.3232121, 998, 824)
('move', 1730062466.327249, 998, 826)
('move', 1730062466.33127, 998, 828)
('move', 1730062466.3352263, 998, 831)
('move', 1730062466.339212, 998, 835)
('move', 1730062466.34321, 998, 837)
('move', 1730062466.34721, 1001, 839)
('move', 1730062466.3512099, 1001, 841)
('move', 1730062466.355225, 1001, 844)
('move', 1730062466.3592134, 1001, 846)
('move', 1730062466.36321, 1001, 848)
('move', 1730062466.3672469, 1001, 850)
('move', 1730062466.371245, 1001, 852)
('move', 1730062466.3752449, 1001, 855)
('move', 1730062466.3792303, 1001, 857)
('move', 1730062466.3832128, 1001, 859)
('move', 1730062466.3872313, 1001, 861)
('move', 1730062466.391214, 1003, 861)
('move', 1730062466.3952098, 1003, 863)
('move', 1730062466.3992164, 1003, 866)
('move', 1730062466.403214, 1003, 868)
('move', 1730062466.4112294, 1003, 870)
('move', 1730062466.4152389, 1003, 872)
('move', 1730062466.4192479, 1003, 874)
('move', 1730062466.4232128, 1003, 876)
('move', 1730062466.42721, 1005, 879)
('move', 1730062466.4312115, 1005, 881)
('move', 1730062466.4352157, 1005, 883)
('move', 1730062466.4392142, 1005, 885)
('move', 1730062466.4432125, 1005, 887)
('move', 1730062466.4472106, 1007, 890)
('move', 1730062466.4512112, 1007, 892)
('move', 1730062466.4552488, 1007, 894)
('move', 1730062466.4592106, 1007, 896)
